t,u,v,i,j
1.30726,0.259797,-0.00281014,182,100
1.31035,0.259705,-0.0028094,182,100
1.31344,0.259615,-0.00280867,182,100
1.31653,0.259525,-0.00280794,182,100
1.31962,0.259436,-0.00280723,182,100
1.32271,0.259347,-0.00280653,182,100
1.3258,0.25926,-0.00280584,182,100
1.32889,0.259172,-0.00280516,182,100
1.33198,0.259086,-0.00280449,182,100
1.33508,0.259,-0.00280384,182,100
1.33817,0.258915,-0.00280319,182,100
1.34126,0.25883,-0.00280255,182,100
1.34435,0.258746
